Sector,Area,Basis,Measure,Units,Year,Value
Private nonfarm,Texas,All workers,Labor compensation,% Change from previous year,2016,0.9
Private nonfarm,Texas,All workers,Labor compensation,% Change from previous year,2017,5.0
Private nonfarm,Texas,All workers,Labor compensation,% Change from previous year,2018,6.6
Private nonfarm,Texas,All workers,Labor compensation,% Change from previous year,2019,5.8
Private nonfarm,Texas,All workers,Labor compensation,% Change from previous year,2020,-0.5
Private nonfarm,Texas,All workers,Labor compensation,% Change from previous year,2021,11.1
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2008,2.5
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2009,-4.9
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2010,0.2
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2011,5.2
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2012,5.5
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2013,7.0
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2014,4.0
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2015,6.6
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2016,6.3
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2017,6.4
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2018,8.8
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2019,7.5
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2020,5.1
Private nonfarm,Utah,All workers,Labor compensation,% Change from previous year,2021,10.7
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2008,3.7
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2009,-5.2
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2010,1.1
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2011,5.8
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2012,4.2
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2013,2.9
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2014,-0.3
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2015,5.6
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2016,2.2
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2017,2.5
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2018,3.7
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2019,2.4
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2020,-0.8
Private nonfarm,Vermont,All workers,Labor compensation,% Change from previous year,2021,8.2
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2008,0.6
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2009,-1.9
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2010,1.9
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2011,2.6
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2012,4.6
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2013,1.4
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2014,2.5
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2015,3.0
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2016,2.0
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2017,5.1
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2018,6.5
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2019,3.6
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2020,2.9
Private nonfarm,Virginia,All workers,Labor compensation,% Change from previous year,2021,7.3
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2008,2.6
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2009,-3.6
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2010,1.6
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2011,4.1
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2012,7.0
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2013,2.9
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2014,6.5
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2015,5.7
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2016,6.0
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2017,9.0
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2018,8.3
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2019,7.8
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2020,3.5
Private nonfarm,Washington,All workers,Labor compensation,% Change from previous year,2021,11.1
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2008,5.4
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2009,-1.9
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2010,0.3
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2011,7.0
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2012,4.1
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2013,1.8
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2014,-0.4
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2015,2.2
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2016,-3.9
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2017,4.5
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2018,8.6
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2019,-1.0
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2020,-5.5
Private nonfarm,West Virginia,All workers,Labor compensation,% Change from previous year,2021,8.5
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2008,2.7
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2009,-4.2
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2010,0.1
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2011,4.7
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2012,3.0
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2013,4.3
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2014,2.6
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2015,4.2
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2016,3.4
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2017,4.7
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2018,4.5
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2019,3.7
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2020,-0.2
Private nonfarm,Wisconsin,All workers,Labor compensation,% Change from previous year,2021,9.8
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2008,8.8
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2009,-9.7
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2010,1.4
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2011,3.8
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2012,5.5
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2013,2.1
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2014,7.8
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2015,-3.9
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2016,-7.5
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2017,2.3
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2018,5.8
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2019,5.0
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2020,-4.2
Private nonfarm,Wyoming,All workers,Labor compensation,% Change from previous year,2021,8.3
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2008,1.1
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2009,-6.1
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2010,1.5
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2011,4.7
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2012,4.5
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2013,2.8
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2014,4.0
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2015,5.1
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2016,2.0
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2017,4.2
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2018,4.4
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2019,3.6
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2020,-0.5
Private nonfarm,Midwest,All workers,Labor compensation,% Change from previous year,2021,8.4
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2008,1.9
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2009,-5.4
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2010,2.7
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2011,3.9
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2012,3.7
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2013,1.8
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2014,4.7
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2015,4.9
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2016,2.0
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2017,4.2
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2018,4.3
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2019,4.4
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2020,-0.9
Private nonfarm,Northeast,All workers,Labor compensation,% Change from previous year,2021,9.0
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2008,1.4
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2009,-4.2
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2010,1.6
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2011,4.2
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2012,5.9
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2013,3.1
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2014,5.4
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2015,4.9
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2016,2.8
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2017,4.8
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2018,5.9
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2019,4.7
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2020,0.5
Private nonfarm,South,All workers,Labor compensation,% Change from previous year,2021,11.5
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2007,N.A.
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2008,0.3
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2009,-6.4
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2010,1.6
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2011,4.5
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2012,6.0
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2013,4.2
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2014,5.9
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2015,6.3
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2016,4.4
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2017,6.6
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2018,6.7
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2019,5.4
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2020,1.1
Private nonfarm,West,All workers,Labor compensation,% Change from previous year,2021,13.7
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2007,"97,934.334"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2008,"94,000.034"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2009,"91,539.805"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2010,"89,628.063"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2011,"88,881.567"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2012,"88,717.926"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2013,"90,071.690"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2014,"91,524.577"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2015,"95,883.532"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2016,"96,876.219"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2017,"99,624.134"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2018,"104,771.084"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2019,"105,934.232"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2020,"106,678.718"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,2021,"110,887.472"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2007,"16,069.534"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2008,"16,016.053"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2009,"16,142.132"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2010,"16,771.566"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2011,"17,144.576"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2012,"17,737.099"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2013,"18,517.530"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2014,"18,361.827"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2015,"18,748.622"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2016,"17,551.893"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2017,"16,693.103"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2018,"17,328.333"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2019,"18,374.037"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2020,"17,585.318"
Private nonfarm,Alaska,All workers,Real labor compensation,Millions of 2012 dollars,2021,"17,619.841"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2007,"135,832.165"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2008,"131,698.978"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2009,"122,425.231"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2010,"123,417.528"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2011,"125,550.632"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2012,"129,244.776"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2013,"131,850.694"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2014,"136,396.036"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2015,"143,648.471"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2016,"146,027.228"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2017,"153,881.090"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2018,"162,213.792"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2019,"167,801.437"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2020,"172,594.893"
Private nonfarm,Arizona,All workers,Real labor compensation,Millions of 2012 dollars,2021,"181,031.128"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2007,"57,633.005"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2008,"56,512.111"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2009,"56,287.905"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2010,"54,395.321"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2011,"54,777.222"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2012,"56,301.111"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2013,"55,795.884"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2014,"56,909.023"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2015,"59,458.655"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2016,"60,069.364"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2017,"62,046.250"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2018,"63,049.229"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2019,"64,397.925"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2020,"64,540.575"
Private nonfarm,Arkansas,All workers,Real labor compensation,Millions of 2012 dollars,2021,"68,527.152"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2007,"942,284.089"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2008,"899,172.304"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2009,"847,473.935"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2010,"861,013.176"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2011,"878,525.079"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2012,"911,711.790"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2013,"941,262.087"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2014,"982,849.115"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2015,"1,041,158.802"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2016,"1,081,960.333"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2017,"1,116,957.058"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2018,"1,149,131.395"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2019,"1,189,815.484"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2020,"1,177,897.540"
Private nonfarm,California,All workers,Real labor compensation,Millions of 2012 dollars,2021,"1,300,932.215"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2007,"132,024.354"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2008,"130,662.912"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2009,"125,368.919"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2010,"126,842.233"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2011,"124,922.269"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2012,"128,845.644"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2013,"132,128.133"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2014,"140,116.954"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2015,"146,091.528"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2016,"149,688.745"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2017,"155,798.357"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2018,"168,233.309"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2019,"172,564.206"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2020,"170,874.368"
Private nonfarm,Colorado,All workers,Real labor compensation,Millions of 2012 dollars,2021,"183,083.478"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2007,"115,874.894"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2008,"111,317.510"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2009,"106,320.760"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2010,"110,141.767"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2011,"109,491.909"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2012,"111,224.671"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2013,"108,880.150"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2014,"111,488.729"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2015,"114,391.969"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2016,"115,815.650"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2017,"112,257.375"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2018,"117,091.228"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2019,"118,217.976"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2020,"117,660.212"
Private nonfarm,Connecticut,All workers,Real labor compensation,Millions of 2012 dollars,2021,"121,394.992"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2007,"25,438.413"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2008,"24,481.317"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2009,"22,762.950"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2010,"22,682.960"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2011,"23,474.725"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2012,"24,105.425"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2013,"24,571.240"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2014,"24,899.430"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2015,"25,969.084"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2016,"25,865.727"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2017,"26,414.062"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2018,"26,814.105"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2019,"27,110.371"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2020,"26,751.678"
Private nonfarm,Delaware,All workers,Real labor compensation,Millions of 2012 dollars,2021,"27,952.541"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2007,"39,027.993"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2008,"38,811.698"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2009,"38,232.711"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2010,"38,649.425"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2011,"39,668.298"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2012,"40,592.673"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2013,"40,251.163"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2014,"41,687.814"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2015,"43,993.553"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2016,"45,817.323"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2017,"47,434.380"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2018,"48,405.376"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2019,"50,331.456"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2020,"48,662.106"
Private nonfarm,District of Columbia,All workers,Real labor compensation,Millions of 2012 dollars,2021,"48,933.384"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2007,"400,878.797"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2008,"376,628.949"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2009,"357,159.335"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2010,"354,697.939"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2011,"352,046.395"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2012,"363,360.409"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2013,"378,139.963"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2014,"393,235.803"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2015,"417,003.812"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2016,"432,522.065"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2017,"446,582.647"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2018,"472,095.961"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2019,"493,734.559"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2020,"485,890.584"
Private nonfarm,Florida,All workers,Real labor compensation,Millions of 2012 dollars,2021,"542,140.234"
Private nonfarm,Georgia,All workers,Real labor compensation,Millions of 2012 dollars,2007,"231,598.492"
Private nonfarm,Georgia,All workers,Real labor compensation,Millions of 2012 dollars,2008,"222,341.998"
