,Area,Measure,Units,Year,Value
2140,New York,Employment,Thousands of jobs,2017,8611.9
2141,New York,Employment,Thousands of jobs,2018,8731.9
2142,New York,Employment,Thousands of jobs,2019,8811.9
2143,New York,Employment,Thousands of jobs,2020,7869.7
2144,New York,Employment,Thousands of jobs,2021,8106.8
2145,North Carolina,Employment,Thousands of jobs,2007,3778.3
2146,North Carolina,Employment,Thousands of jobs,2008,3714.2
2147,North Carolina,Employment,Thousands of jobs,2009,3477.7
2148,North Carolina,Employment,Thousands of jobs,2010,3429.9
2149,North Carolina,Employment,Thousands of jobs,2011,3517.0
2150,North Carolina,Employment,Thousands of jobs,2012,3566.1
2151,North Carolina,Employment,Thousands of jobs,2013,3617.9
2152,North Carolina,Employment,Thousands of jobs,2014,3688.7
2153,North Carolina,Employment,Thousands of jobs,2015,3817.3
2154,North Carolina,Employment,Thousands of jobs,2016,3917.9
2155,North Carolina,Employment,Thousands of jobs,2017,3952.4
2156,North Carolina,Employment,Thousands of jobs,2018,4043.1
2157,North Carolina,Employment,Thousands of jobs,2019,4159.6
2158,North Carolina,Employment,Thousands of jobs,2020,4007.5
2159,North Carolina,Employment,Thousands of jobs,2021,4221.4
2160,North Dakota,Employment,Thousands of jobs,2007,308.2
2161,North Dakota,Employment,Thousands of jobs,2008,320.6
2162,North Dakota,Employment,Thousands of jobs,2009,312.0
2163,North Dakota,Employment,Thousands of jobs,2010,321.4
2164,North Dakota,Employment,Thousands of jobs,2011,344.5
2165,North Dakota,Employment,Thousands of jobs,2012,376.6
2166,North Dakota,Employment,Thousands of jobs,2013,390.9
2167,North Dakota,Employment,Thousands of jobs,2014,405.0
2168,North Dakota,Employment,Thousands of jobs,2015,395.5
2169,North Dakota,Employment,Thousands of jobs,2016,374.5
2170,North Dakota,Employment,Thousands of jobs,2017,372.0
2171,North Dakota,Employment,Thousands of jobs,2018,375.1
2172,North Dakota,Employment,Thousands of jobs,2019,380.2
2173,North Dakota,Employment,Thousands of jobs,2020,351.4
2174,North Dakota,Employment,Thousands of jobs,2021,353.5
2175,Ohio,Employment,Thousands of jobs,2007,4971.0
2176,Ohio,Employment,Thousands of jobs,2008,4898.0
2177,Ohio,Employment,Thousands of jobs,2009,4617.5
2178,Ohio,Employment,Thousands of jobs,2010,4576.9
2179,Ohio,Employment,Thousands of jobs,2011,4651.2
2180,Ohio,Employment,Thousands of jobs,2012,4766.3
2181,Ohio,Employment,Thousands of jobs,2013,4818.5
2182,Ohio,Employment,Thousands of jobs,2014,4879.9
2183,Ohio,Employment,Thousands of jobs,2015,4983.4
2184,Ohio,Employment,Thousands of jobs,2016,4978.8
2185,Ohio,Employment,Thousands of jobs,2017,5029.7
2186,Ohio,Employment,Thousands of jobs,2018,5078.7
2187,Ohio,Employment,Thousands of jobs,2019,5109.7
2188,Ohio,Employment,Thousands of jobs,2020,4802.2
2189,Ohio,Employment,Thousands of jobs,2021,4914.7
2190,Oklahoma,Employment,Thousands of jobs,2007,1371.5
2191,Oklahoma,Employment,Thousands of jobs,2008,1387.1
2192,Oklahoma,Employment,Thousands of jobs,2009,1332.1
2193,Oklahoma,Employment,Thousands of jobs,2010,1318.3
2194,Oklahoma,Employment,Thousands of jobs,2011,1330.8
2195,Oklahoma,Employment,Thousands of jobs,2012,1378.6
2196,Oklahoma,Employment,Thousands of jobs,2013,1408.9
2197,Oklahoma,Employment,Thousands of jobs,2014,1438.4
2198,Oklahoma,Employment,Thousands of jobs,2015,1434.8
2199,Oklahoma,Employment,Thousands of jobs,2016,1435.7
2200,Oklahoma,Employment,Thousands of jobs,2017,1441.9
2201,Oklahoma,Employment,Thousands of jobs,2018,1488.4
2202,Oklahoma,Employment,Thousands of jobs,2019,1478.6
2203,Oklahoma,Employment,Thousands of jobs,2020,1415.6
2204,Oklahoma,Employment,Thousands of jobs,2021,1447.9
2205,Oregon,Employment,Thousands of jobs,2007,1654.5
2206,Oregon,Employment,Thousands of jobs,2008,1626.6
2207,Oregon,Employment,Thousands of jobs,2009,1498.6
2208,Oregon,Employment,Thousands of jobs,2010,1477.3
2209,Oregon,Employment,Thousands of jobs,2011,1507.8
2210,Oregon,Employment,Thousands of jobs,2012,1543.6
2211,Oregon,Employment,Thousands of jobs,2013,1568.9
2212,Oregon,Employment,Thousands of jobs,2014,1619.9
2213,Oregon,Employment,Thousands of jobs,2015,1662.8
2214,Oregon,Employment,Thousands of jobs,2016,1728.9
2215,Oregon,Employment,Thousands of jobs,2017,1758.7
2216,Oregon,Employment,Thousands of jobs,2018,1805.2
2217,Oregon,Employment,Thousands of jobs,2019,1834.0
2218,Oregon,Employment,Thousands of jobs,2020,1705.1
2219,Oregon,Employment,Thousands of jobs,2021,1768.1
2220,Pennsylvania,Employment,Thousands of jobs,2007,5449.6
2221,Pennsylvania,Employment,Thousands of jobs,2008,5453.7
2222,Pennsylvania,Employment,Thousands of jobs,2009,5259.7
2223,Pennsylvania,Employment,Thousands of jobs,2010,5231.7
2224,Pennsylvania,Employment,Thousands of jobs,2011,5291.7
2225,Pennsylvania,Employment,Thousands of jobs,2012,5326.4
2226,Pennsylvania,Employment,Thousands of jobs,2013,5337.4
2227,Pennsylvania,Employment,Thousands of jobs,2014,5403.5
2228,Pennsylvania,Employment,Thousands of jobs,2015,5458.4
2229,Pennsylvania,Employment,Thousands of jobs,2016,5521.1
2230,Pennsylvania,Employment,Thousands of jobs,2017,5551.4
2231,Pennsylvania,Employment,Thousands of jobs,2018,5684.3
2232,Pennsylvania,Employment,Thousands of jobs,2019,5748.7
2233,Pennsylvania,Employment,Thousands of jobs,2020,5256.4
2234,Pennsylvania,Employment,Thousands of jobs,2021,5392.4
2235,Rhode Island,Employment,Thousands of jobs,2007,464.9
2236,Rhode Island,Employment,Thousands of jobs,2008,454.7
2237,Rhode Island,Employment,Thousands of jobs,2009,432.2
2238,Rhode Island,Employment,Thousands of jobs,2010,428.8
2239,Rhode Island,Employment,Thousands of jobs,2011,430.1
2240,Rhode Island,Employment,Thousands of jobs,2012,435.3
2241,Rhode Island,Employment,Thousands of jobs,2013,443.0
2242,Rhode Island,Employment,Thousands of jobs,2014,454.6
2243,Rhode Island,Employment,Thousands of jobs,2015,457.5
2244,Rhode Island,Employment,Thousands of jobs,2016,457.9
2245,Rhode Island,Employment,Thousands of jobs,2017,460.0
2246,Rhode Island,Employment,Thousands of jobs,2018,464.8
2247,Rhode Island,Employment,Thousands of jobs,2019,469.1
2248,Rhode Island,Employment,Thousands of jobs,2020,423.2
2249,Rhode Island,Employment,Thousands of jobs,2021,445.0
2250,South Carolina,Employment,Thousands of jobs,2007,1727.3
2251,South Carolina,Employment,Thousands of jobs,2008,1704.6
2252,South Carolina,Employment,Thousands of jobs,2009,1596.0
2253,South Carolina,Employment,Thousands of jobs,2010,1580.2
2254,South Carolina,Employment,Thousands of jobs,2011,1589.6
2255,South Carolina,Employment,Thousands of jobs,2012,1622.4
2256,South Carolina,Employment,Thousands of jobs,2013,1670.1
2257,South Carolina,Employment,Thousands of jobs,2014,1716.2
2258,South Carolina,Employment,Thousands of jobs,2015,1786.0
2259,South Carolina,Employment,Thousands of jobs,2016,1826.7
2260,South Carolina,Employment,Thousands of jobs,2017,1859.6
2261,South Carolina,Employment,Thousands of jobs,2018,1911.3
2262,South Carolina,Employment,Thousands of jobs,2019,1951.0
2263,South Carolina,Employment,Thousands of jobs,2020,1840.5
2264,South Carolina,Employment,Thousands of jobs,2021,1927.7
2265,South Dakota,Employment,Thousands of jobs,2007,365.9
2266,South Dakota,Employment,Thousands of jobs,2008,368.5
2267,South Dakota,Employment,Thousands of jobs,2009,358.3
2268,South Dakota,Employment,Thousands of jobs,2010,356.4
2269,South Dakota,Employment,Thousands of jobs,2011,362.4
2270,South Dakota,Employment,Thousands of jobs,2012,368.6
2271,South Dakota,Employment,Thousands of jobs,2013,372.7
2272,South Dakota,Employment,Thousands of jobs,2014,374.6
2273,South Dakota,Employment,Thousands of jobs,2015,382.8
2274,South Dakota,Employment,Thousands of jobs,2016,387.6
2275,South Dakota,Employment,Thousands of jobs,2017,386.1
2276,South Dakota,Employment,Thousands of jobs,2018,387.3
2277,South Dakota,Employment,Thousands of jobs,2019,390.9
2278,South Dakota,Employment,Thousands of jobs,2020,382.2
2279,South Dakota,Employment,Thousands of jobs,2021,396.0
2280,Tennessee,Employment,Thousands of jobs,2007,2659.8
2281,Tennessee,Employment,Thousands of jobs,2008,2625.4
2282,Tennessee,Employment,Thousands of jobs,2009,2422.1
2283,Tennessee,Employment,Thousands of jobs,2010,2414.4
2284,Tennessee,Employment,Thousands of jobs,2011,2462.8
2285,Tennessee,Employment,Thousands of jobs,2012,2488.8
2286,Tennessee,Employment,Thousands of jobs,2013,2564.4
2287,Tennessee,Employment,Thousands of jobs,2014,2614.0
2288,Tennessee,Employment,Thousands of jobs,2015,2668.0
2289,Tennessee,Employment,Thousands of jobs,2016,2745.7
2290,Tennessee,Employment,Thousands of jobs,2017,2809.4
2291,Tennessee,Employment,Thousands of jobs,2018,2873.5
2292,Tennessee,Employment,Thousands of jobs,2019,2913.9
2293,Tennessee,Employment,Thousands of jobs,2020,2798.5
2294,Tennessee,Employment,Thousands of jobs,2021,2924.9
2295,Texas,Employment,Thousands of jobs,2007,9525.0
2296,Texas,Employment,Thousands of jobs,2008,9672.1
2297,Texas,Employment,Thousands of jobs,2009,9346.5
2298,Texas,Employment,Thousands of jobs,2010,9313.2
2299,Texas,Employment,Thousands of jobs,2011,9583.6
2300,Texas,Employment,Thousands of jobs,2012,9982.4
2301,Texas,Employment,Thousands of jobs,2013,10226.1
2302,Texas,Employment,Thousands of jobs,2014,10596.7
2303,Texas,Employment,Thousands of jobs,2015,10870.5
2304,Texas,Employment,Thousands of jobs,2016,10989.0
2305,Texas,Employment,Thousands of jobs,2017,11220.8
2306,Texas,Employment,Thousands of jobs,2018,11535.4
2307,Texas,Employment,Thousands of jobs,2019,11763.8
2308,Texas,Employment,Thousands of jobs,2020,11190.7
2309,Texas,Employment,Thousands of jobs,2021,11749.0
2310,Utah,Employment,Thousands of jobs,2007,1142.1
2311,Utah,Employment,Thousands of jobs,2008,1131.2
2312,Utah,Employment,Thousands of jobs,2009,1066.7
2313,Utah,Employment,Thousands of jobs,2010,1050.6
2314,Utah,Employment,Thousands of jobs,2011,1060.0
2315,Utah,Employment,Thousands of jobs,2012,1101.4
2316,Utah,Employment,Thousands of jobs,2013,1146.9
2317,Utah,Employment,Thousands of jobs,2014,1166.2
2318,Utah,Employment,Thousands of jobs,2015,1211.4
2319,Utah,Employment,Thousands of jobs,2016,1268.0
2320,Utah,Employment,Thousands of jobs,2017,1312.8
2321,Utah,Employment,Thousands of jobs,2018,1354.1
2322,Utah,Employment,Thousands of jobs,2019,1402.4
2323,Utah,Employment,Thousands of jobs,2020,1369.6
2324,Utah,Employment,Thousands of jobs,2021,1445.6
2325,Vermont,Employment,Thousands of jobs,2007,294.8
2326,Vermont,Employment,Thousands of jobs,2008,292.2
2327,Vermont,Employment,Thousands of jobs,2009,278.3
2328,Vermont,Employment,Thousands of jobs,2010,276.1
2329,Vermont,Employment,Thousands of jobs,2011,281.1
2330,Vermont,Employment,Thousands of jobs,2012,286.1
2331,Vermont,Employment,Thousands of jobs,2013,288.2
2332,Vermont,Employment,Thousands of jobs,2014,285.3
2333,Vermont,Employment,Thousands of jobs,2015,291.6
2334,Vermont,Employment,Thousands of jobs,2016,290.3
2335,Vermont,Employment,Thousands of jobs,2017,290.8
2336,Vermont,Employment,Thousands of jobs,2018,292.4
2337,Vermont,Employment,Thousands of jobs,2019,289.7
2338,Vermont,Employment,Thousands of jobs,2020,261.9
2339,Vermont,Employment,Thousands of jobs,2021,269.9
2340,Virginia,Employment,Thousands of jobs,2007,3382.5
2341,Virginia,Employment,Thousands of jobs,2008,3330.6
2342,Virginia,Employment,Thousands of jobs,2009,3166.9
2343,Virginia,Employment,Thousands of jobs,2010,3156.9
2344,Virginia,Employment,Thousands of jobs,2011,3188.7
2345,Virginia,Employment,Thousands of jobs,2012,3262.0
2346,Virginia,Employment,Thousands of jobs,2013,3273.6
2347,Virginia,Employment,Thousands of jobs,2014,3305.2
2348,Virginia,Employment,Thousands of jobs,2015,3344.3
2349,Virginia,Employment,Thousands of jobs,2016,3380.1
2350,Virginia,Employment,Thousands of jobs,2017,3448.4
2351,Virginia,Employment,Thousands of jobs,2018,3527.9
2352,Virginia,Employment,Thousands of jobs,2019,3552.4
2353,Virginia,Employment,Thousands of jobs,2020,3375.0
2354,Virginia,Employment,Thousands of jobs,2021,3437.9
2355,Washington,Employment,Thousands of jobs,2007,2722.2
2356,Washington,Employment,Thousands of jobs,2008,2714.0
2357,Washington,Employment,Thousands of jobs,2009,2585.0
2358,Washington,Employment,Thousands of jobs,2010,2558.5
2359,Washington,Employment,Thousands of jobs,2011,2587.2
2360,Washington,Employment,Thousands of jobs,2012,2652.8
2361,Washington,Employment,Thousands of jobs,2013,2687.1
2362,Washington,Employment,Thousands of jobs,2014,2733.7
2363,Washington,Employment,Thousands of jobs,2015,2821.5
2364,Washington,Employment,Thousands of jobs,2016,2905.8
2365,Washington,Employment,Thousands of jobs,2017,3023.5
2366,Washington,Employment,Thousands of jobs,2018,3071.1
2367,Washington,Employment,Thousands of jobs,2019,3165.7
2368,Washington,Employment,Thousands of jobs,2020,3001.3
2369,Washington,Employment,Thousands of jobs,2021,3071.5
2370,West Virginia,Employment,Thousands of jobs,2007,626.8
2371,West Virginia,Employment,Thousands of jobs,2008,626.9
2372,West Virginia,Employment,Thousands of jobs,2009,607.8
2373,West Virginia,Employment,Thousands of jobs,2010,599.1
2374,West Virginia,Employment,Thousands of jobs,2011,608.8
2375,West Virginia,Employment,Thousands of jobs,2012,618.6
2376,West Virginia,Employment,Thousands of jobs,2013,624.9
2377,West Virginia,Employment,Thousands of jobs,2014,620.1
2378,West Virginia,Employment,Thousands of jobs,2015,619.6
2379,West Virginia,Employment,Thousands of jobs,2016,602.9
2380,West Virginia,Employment,Thousands of jobs,2017,597.9
2381,West Virginia,Employment,Thousands of jobs,2018,611.8
2382,West Virginia,Employment,Thousands of jobs,2019,604.3
2383,West Virginia,Employment,Thousands of jobs,2020,554.4
2384,West Virginia,Employment,Thousands of jobs,2021,573.9
2385,Wisconsin,Employment,Thousands of jobs,2007,2643.5
2386,Wisconsin,Employment,Thousands of jobs,2008,2639.3
2387,Wisconsin,Employment,Thousands of jobs,2009,2510.8
2388,Wisconsin,Employment,Thousands of jobs,2010,2479.9
2389,Wisconsin,Employment,Thousands of jobs,2011,2509.9
2390,Wisconsin,Employment,Thousands of jobs,2012,2529.0
2391,Wisconsin,Employment,Thousands of jobs,2013,2576.2
2392,Wisconsin,Employment,Thousands of jobs,2014,2607.3
2393,Wisconsin,Employment,Thousands of jobs,2015,2636.7
2394,Wisconsin,Employment,Thousands of jobs,2016,2705.2
2395,Wisconsin,Employment,Thousands of jobs,2017,2735.1
2396,Wisconsin,Employment,Thousands of jobs,2018,2757.5
2397,Wisconsin,Employment,Thousands of jobs,2019,2784.1
2398,Wisconsin,Employment,Thousands of jobs,2020,2622.3
2399,Wisconsin,Employment,Thousands of jobs,2021,2705.5
2400,Wyoming,Employment,Thousands of jobs,2007,247.0
2401,Wyoming,Employment,Thousands of jobs,2008,254.9
2402,Wyoming,Employment,Thousands of jobs,2009,239.6
2403,Wyoming,Employment,Thousands of jobs,2010,232.2
2404,Wyoming,Employment,Thousands of jobs,2011,235.6
2405,Wyoming,Employment,Thousands of jobs,2012,240.4
2406,Wyoming,Employment,Thousands of jobs,2013,241.9
2407,Wyoming,Employment,Thousands of jobs,2014,251.2
2408,Wyoming,Employment,Thousands of jobs,2015,244.8
2409,Wyoming,Employment,Thousands of jobs,2016,234.7
2410,Wyoming,Employment,Thousands of jobs,2017,232.4
2411,Wyoming,Employment,Thousands of jobs,2018,235.9
2412,Wyoming,Employment,Thousands of jobs,2019,239.5
2413,Wyoming,Employment,Thousands of jobs,2020,224.8
2414,Wyoming,Employment,Thousands of jobs,2021,233.4
2415,Midwest,Employment,Thousands of jobs,2007,29074.7
2416,Midwest,Employment,Thousands of jobs,2008,28633.8
2417,Midwest,Employment,Thousands of jobs,2009,27101.0
2418,Midwest,Employment,Thousands of jobs,2010,26925.3
2419,Midwest,Employment,Thousands of jobs,2011,27403.6
2420,Midwest,Employment,Thousands of jobs,2012,27862.7
2421,Midwest,Employment,Thousands of jobs,2013,28283.6
2422,Midwest,Employment,Thousands of jobs,2014,28651.6
2423,Midwest,Employment,Thousands of jobs,2015,29267.1
2424,Midwest,Employment,Thousands of jobs,2016,29519.7
2425,Midwest,Employment,Thousands of jobs,2017,29761.0
2426,Midwest,Employment,Thousands of jobs,2018,30023.3
2427,Midwest,Employment,Thousands of jobs,2019,30258.6
2428,Midwest,Employment,Thousands of jobs,2020,28280.8
2429,Midwest,Employment,Thousands of jobs,2021,29083.8
2430,Northeast,Employment,Thousands of jobs,2007,23555.5
2431,Northeast,Employment,Thousands of jobs,2008,23564.5
2432,Northeast,Employment,Thousands of jobs,2009,22709.1
2433,Northeast,Employment,Thousands of jobs,2010,22603.9
2434,Northeast,Employment,Thousands of jobs,2011,22901.8
2435,Northeast,Employment,Thousands of jobs,2012,23228.2
2436,Northeast,Employment,Thousands of jobs,2013,23463.4
2437,Northeast,Employment,Thousands of jobs,2014,23838.9
2438,Northeast,Employment,Thousands of jobs,2015,24241.0
2439,Northeast,Employment,Thousands of jobs,2016,24598.1
2440,Northeast,Employment,Thousands of jobs,2017,24812.4
2441,Northeast,Employment,Thousands of jobs,2018,25173.4
2442,Northeast,Employment,Thousands of jobs,2019,25427.1
2443,Northeast,Employment,Thousands of jobs,2020,23075.1
2444,Northeast,Employment,Thousands of jobs,2021,23913.1
2445,South,Employment,Thousands of jobs,2007,44800.3
2446,South,Employment,Thousands of jobs,2008,44219.4
2447,South,Employment,Thousands of jobs,2009,41932.7
2448,South,Employment,Thousands of jobs,2010,41596.7
2449,South,Employment,Thousands of jobs,2011,42312.1
2450,South,Employment,Thousands of jobs,2012,43313.3
2451,South,Employment,Thousands of jobs,2013,44182.5
2452,South,Employment,Thousands of jobs,2014,45292.3
2453,South,Employment,Thousands of jobs,2015,46374.2
2454,South,Employment,Thousands of jobs,2016,47283.9
2455,South,Employment,Thousands of jobs,2017,48094.2
2456,South,Employment,Thousands of jobs,2018,49209.9
2457,South,Employment,Thousands of jobs,2019,49937.4
2458,South,Employment,Thousands of jobs,2020,47303.7
2459,South,Employment,Thousands of jobs,2021,49582.0
2460,West,Employment,Thousands of jobs,2007,29225.5
2461,West,Employment,Thousands of jobs,2008,28727.2
2462,West,Employment,Thousands of jobs,2009,26851.9
2463,West,Employment,Thousands of jobs,2010,26559.8
2464,West,Employment,Thousands of jobs,2011,26900.4
2465,West,Employment,Thousands of jobs,2012,27573.5
2466,West,Employment,Thousands of jobs,2013,28317.5
2467,West,Employment,Thousands of jobs,2014,29049.0
2468,West,Employment,Thousands of jobs,2015,29815.4
2469,West,Employment,Thousands of jobs,2016,30645.1
2470,West,Employment,Thousands of jobs,2017,31365.0
2471,West,Employment,Thousands of jobs,2018,32108.7
2472,West,Employment,Thousands of jobs,2019,32597.6
2473,West,Employment,Thousands of jobs,2020,30234.0
2474,West,Employment,Thousands of jobs,2021,31686.9
2475,Alabama,Employment,% Change from previous year,2007,N.A.
2476,Alabama,Employment,% Change from previous year,2008,-3.2
2477,Alabama,Employment,% Change from previous year,2009,-5.9
2478,Alabama,Employment,% Change from previous year,2010,-0.4
2479,Alabama,Employment,% Change from previous year,2011,-0.2
2480,Alabama,Employment,% Change from previous year,2012,1.2
2481,Alabama,Employment,% Change from previous year,2013,1.3
2482,Alabama,Employment,% Change from previous year,2014,0.8
2483,Alabama,Employment,% Change from previous year,2015,1.3
2484,Alabama,Employment,% Change from previous year,2016,2.0
2485,Alabama,Employment,% Change from previous year,2017,1.3
2486,Alabama,Employment,% Change from previous year,2018,1.5
2487,Alabama,Employment,% Change from previous year,2019,1.5
2488,Alabama,Employment,% Change from previous year,2020,-4.3
2489,Alabama,Employment,% Change from previous year,2021,3.0
2490,Alaska,Employment,% Change from previous year,2007,N.A.
2491,Alaska,Employment,% Change from previous year,2008,-0.2
2492,Alaska,Employment,% Change from previous year,2009,-3.0
2493,Alaska,Employment,% Change from previous year,2010,1.7
2494,Alaska,Employment,% Change from previous year,2011,2.9
2495,Alaska,Employment,% Change from previous year,2012,0.8
2496,Alaska,Employment,% Change from previous year,2013,2.2
2497,Alaska,Employment,% Change from previous year,2014,0.0
2498,Alaska,Employment,% Change from previous year,2015,-0.9
2499,Alaska,Employment,% Change from previous year,2016,-1.4
2500,Alaska,Employment,% Change from previous year,2017,-1.6
2501,Alaska,Employment,% Change from previous year,2018,0.7
2502,Alaska,Employment,% Change from previous year,2019,1.9
2503,Alaska,Employment,% Change from previous year,2020,-9.8
2504,Alaska,Employment,% Change from previous year,2021,3.5
2505,Arizona,Employment,% Change from previous year,2007,N.A.
2506,Arizona,Employment,% Change from previous year,2008,-2.7
2507,Arizona,Employment,% Change from previous year,2009,-7.0
2508,Arizona,Employment,% Change from previous year,2010,-1.6
2509,Arizona,Employment,% Change from previous year,2011,0.3
2510,Arizona,Employment,% Change from previous year,2012,2.0
2511,Arizona,Employment,% Change from previous year,2013,3.3
2512,Arizona,Employment,% Change from previous year,2014,1.5
2513,Arizona,Employment,% Change from previous year,2015,2.9
2514,Arizona,Employment,% Change from previous year,2016,3.3
2515,Arizona,Employment,% Change from previous year,2017,2.1
2516,Arizona,Employment,% Change from previous year,2018,3.3
2517,Arizona,Employment,% Change from previous year,2019,3.0
2518,Arizona,Employment,% Change from previous year,2020,-2.8
2519,Arizona,Employment,% Change from previous year,2021,4.1
2520,Arkansas,Employment,% Change from previous year,2007,N.A.
2521,Arkansas,Employment,% Change from previous year,2008,-0.5
2522,Arkansas,Employment,% Change from previous year,2009,-5.8
2523,Arkansas,Employment,% Change from previous year,2010,-0.9
2524,Arkansas,Employment,% Change from previous year,2011,2.3
2525,Arkansas,Employment,% Change from previous year,2012,0.0
2526,Arkansas,Employment,% Change from previous year,2013,-0.6
2527,Arkansas,Employment,% Change from previous year,2014,0.7
2528,Arkansas,Employment,% Change from previous year,2015,3.2
2529,Arkansas,Employment,% Change from previous year,2016,1.9
2530,Arkansas,Employment,% Change from previous year,2017,1.3
2531,Arkansas,Employment,% Change from previous year,2018,0.9
2532,Arkansas,Employment,% Change from previous year,2019,1.5
2533,Arkansas,Employment,% Change from previous year,2020,-2.6
2534,Arkansas,Employment,% Change from previous year,2021,4.7
2535,California,Employment,% Change from previous year,2007,N.A.
2536,California,Employment,% Change from previous year,2008,-2.2
2537,California,Employment,% Change from previous year,2009,-6.6
2538,California,Employment,% Change from previous year,2010,-0.8
2539,California,Employment,% Change from previous year,2011,1.3
2540,California,Employment,% Change from previous year,2012,2.8
2541,California,Employment,% Change from previous year,2013,3.1
2542,California,Employment,% Change from previous year,2014,3.0
2543,California,Employment,% Change from previous year,2015,2.5
2544,California,Employment,% Change from previous year,2016,2.8
2545,California,Employment,% Change from previous year,2017,2.2
2546,California,Employment,% Change from previous year,2018,2.2
2547,California,Employment,% Change from previous year,2019,0.6
2548,California,Employment,% Change from previous year,2020,-8.9
2549,California,Employment,% Change from previous year,2021,5.0
2550,Colorado,Employment,% Change from previous year,2007,N.A.
2551,Colorado,Employment,% Change from previous year,2008,0.1
2552,Colorado,Employment,% Change from previous year,2009,-5.9
2553,Colorado,Employment,% Change from previous year,2010,-1.3
2554,Colorado,Employment,% Change from previous year,2011,2.0
2555,Colorado,Employment,% Change from previous year,2012,2.0
2556,Colorado,Employment,% Change from previous year,2013,2.8
2557,Colorado,Employment,% Change from previous year,2014,3.0
2558,Colorado,Employment,% Change from previous year,2015,3.1
2559,Colorado,Employment,% Change from previous year,2016,2.2
2560,Colorado,Employment,% Change from previous year,2017,2.6
2561,Colorado,Employment,% Change from previous year,2018,3.3
2562,Colorado,Employment,% Change from previous year,2019,1.5
2563,Colorado,Employment,% Change from previous year,2020,-5.3
2564,Colorado,Employment,% Change from previous year,2021,5.5
2565,Connecticut,Employment,% Change from previous year,2007,N.A.
2566,Connecticut,Employment,% Change from previous year,2008,-1.2
2567,Connecticut,Employment,% Change from previous year,2009,-3.5
2568,Connecticut,Employment,% Change from previous year,2010,-1.1
2569,Connecticut,Employment,% Change from previous year,2011,1.0
2570,Connecticut,Employment,% Change from previous year,2012,1.6
2571,Connecticut,Employment,% Change from previous year,2013,-0.1
2572,Connecticut,Employment,% Change from previous year,2014,1.3
2573,Connecticut,Employment,% Change from previous year,2015,1.0
2574,Connecticut,Employment,% Change from previous year,2016,1.9
2575,Connecticut,Employment,% Change from previous year,2017,-1.8
2576,Connecticut,Employment,% Change from previous year,2018,1.4
2577,Connecticut,Employment,% Change from previous year,2019,-0.3
2578,Connecticut,Employment,% Change from previous year,2020,-6.5
2579,Connecticut,Employment,% Change from previous year,2021,3.4
2580,Delaware,Employment,% Change from previous year,2007,N.A.
2581,Delaware,Employment,% Change from previous year,2008,-0.6
2582,Delaware,Employment,% Change from previous year,2009,-5.8
2583,Delaware,Employment,% Change from previous year,2010,-1.7
2584,Delaware,Employment,% Change from previous year,2011,1.3
2585,Delaware,Employment,% Change from previous year,2012,1.8
2586,Delaware,Employment,% Change from previous year,2013,1.9
2587,Delaware,Employment,% Change from previous year,2014,1.6
2588,Delaware,Employment,% Change from previous year,2015,2.2
2589,Delaware,Employment,% Change from previous year,2016,1.7
2590,Delaware,Employment,% Change from previous year,2017,0.1
2591,Delaware,Employment,% Change from previous year,2018,1.8
2592,Delaware,Employment,% Change from previous year,2019,1.1
2593,Delaware,Employment,% Change from previous year,2020,-7.1
2594,Delaware,Employment,% Change from previous year,2021,3.4
2595,District of Columbia,Employment,% Change from previous year,2007,N.A.
2596,District of Columbia,Employment,% Change from previous year,2008,0.6
2597,District of Columbia,Employment,% Change from previous year,2009,-1.4
2598,District of Columbia,Employment,% Change from previous year,2010,0.8
2599,District of Columbia,Employment,% Change from previous year,2011,2.5
2600,District of Columbia,Employment,% Change from previous year,2012,2.1
2601,District of Columbia,Employment,% Change from previous year,2013,2.9
2602,District of Columbia,Employment,% Change from previous year,2014,1.5
2603,District of Columbia,Employment,% Change from previous year,2015,2.4
2604,District of Columbia,Employment,% Change from previous year,2016,2.6
2605,District of Columbia,Employment,% Change from previous year,2017,1.2
2606,District of Columbia,Employment,% Change from previous year,2018,2.2
2607,District of Columbia,Employment,% Change from previous year,2019,0.9
2608,District of Columbia,Employment,% Change from previous year,2020,-10.0
2609,District of Columbia,Employment,% Change from previous year,2021,-0.8
2610,Florida,Employment,% Change from previous year,2007,N.A.
2611,Florida,Employment,% Change from previous year,2008,-5.0
2612,Florida,Employment,% Change from previous year,2009,-6.7
2613,Florida,Employment,% Change from previous year,2010,-1.1
2614,Florida,Employment,% Change from previous year,2011,1.4
2615,Florida,Employment,% Change from previous year,2012,2.5
2616,Florida,Employment,% Change from previous year,2013,3.7
2617,Florida,Employment,% Change from previous year,2014,3.6
2618,Florida,Employment,% Change from previous year,2015,3.6
2619,Florida,Employment,% Change from previous year,2016,3.7
2620,Florida,Employment,% Change from previous year,2017,1.5
2621,Florida,Employment,% Change from previous year,2018,3.6
2622,Florida,Employment,% Change from previous year,2019,2.0
2623,Florida,Employment,% Change from previous year,2020,-6.0
2624,Florida,Employment,% Change from previous year,2021,7.4
2625,Georgia,Employment,% Change from previous year,2007,N.A.
2626,Georgia,Employment,% Change from previous year,2008,-1.6
2627,Georgia,Employment,% Change from previous year,2009,-6.2
2628,Georgia,Employment,% Change from previous year,2010,-1.7
2629,Georgia,Employment,% Change from previous year,2011,1.7
