,Unnamed: 0_x,State,Median AQI,year,Unnamed: 0_y,Area,Measure,Units,Year,Value
1372,642,Pennsylvania,41.6,2009,2222,Pennsylvania,Employment,Thousands of jobs,2009,5259.7
1374,642,Pennsylvania,41.6,2009,8822,Pennsylvania,Hours worked,Index (2012=100),2009,98.011
1375,642,Pennsylvania,41.6,2009,9647,Pennsylvania,Employment,Index (2012=100),2009,98.747
1376,642,Pennsylvania,41.6,2009,15422,Pennsylvania,Labor productivity,Index (2012=100),2009,94.322
1378,642,Pennsylvania,41.6,2009,17072,Pennsylvania,Output per worker,Index (2012=100),2009,93.618
1380,644,Rhode Island,36.3,2009,587,Rhode Island,Hours worked,Millions of hours,2009,703.936
1382,644,Rhode Island,36.3,2009,2237,Rhode Island,Employment,Thousands of jobs,2009,432.2
1384,644,Rhode Island,36.3,2009,8837,Rhode Island,Hours worked,Index (2012=100),2009,101.174
1385,644,Rhode Island,36.3,2009,9662,Rhode Island,Employment,Index (2012=100),2009,99.301
1386,644,Rhode Island,36.3,2009,15437,Rhode Island,Labor productivity,Index (2012=100),2009,94.170
1388,644,Rhode Island,36.3,2009,17087,Rhode Island,Output per worker,Index (2012=100),2009,95.946
1390,645,South Carolina,36.6,2009,602,South Carolina,Hours worked,Millions of hours,2009,"2,680.593"
1392,645,South Carolina,36.6,2009,2252,South Carolina,Employment,Thousands of jobs,2009,1596.0
1394,645,South Carolina,36.6,2009,8852,South Carolina,Hours worked,Index (2012=100),2009,97.394
1395,645,South Carolina,36.6,2009,9677,South Carolina,Employment,Index (2012=100),2009,98.375
1396,645,South Carolina,36.6,2009,15452,South Carolina,Labor productivity,Index (2012=100),2009,95.536
1398,645,South Carolina,36.6,2009,17102,South Carolina,Output per worker,Index (2012=100),2009,94.583
1400,646,South Dakota,33.4,2009,617,South Dakota,Hours worked,Millions of hours,2009,578.512
1402,646,South Dakota,33.4,2009,2267,South Dakota,Employment,Thousands of jobs,2009,358.3
1404,646,South Dakota,33.4,2009,8867,South Dakota,Hours worked,Index (2012=100),2009,93.202
1405,646,South Dakota,33.4,2009,9692,South Dakota,Employment,Index (2012=100),2009,97.195
1406,646,South Dakota,33.4,2009,15467,South Dakota,Labor productivity,Index (2012=100),2009,94.734
1408,646,South Dakota,33.4,2009,17117,South Dakota,Output per worker,Index (2012=100),2009,90.842
1410,647,Tennessee,35.2,2009,632,Tennessee,Hours worked,Millions of hours,2009,"4,124.918"
1412,647,Tennessee,35.2,2009,2282,Tennessee,Employment,Thousands of jobs,2009,2422.1
1414,647,Tennessee,35.2,2009,8882,Tennessee,Hours worked,Index (2012=100),2009,96.995
1415,647,Tennessee,35.2,2009,9707,Tennessee,Employment,Index (2012=100),2009,97.318
1416,647,Tennessee,35.2,2009,15482,Tennessee,Labor productivity,Index (2012=100),2009,93.534
1418,647,Tennessee,35.2,2009,17132,Tennessee,Output per worker,Index (2012=100),2009,93.224
1420,648,Texas,38.6,2009,647,Texas,Hours worked,Millions of hours,2009,"15,893.823"
1422,648,Texas,38.6,2009,2297,Texas,Employment,Thousands of jobs,2009,9346.5
1424,648,Texas,38.6,2009,8897,Texas,Hours worked,Index (2012=100),2009,90.603
1425,648,Texas,38.6,2009,9722,Texas,Employment,Index (2012=100),2009,93.630
1426,648,Texas,38.6,2009,15497,Texas,Labor productivity,Index (2012=100),2009,97.796
1428,648,Texas,38.6,2009,17147,Texas,Output per worker,Index (2012=100),2009,94.634
1430,649,Utah,42.0,2009,662,Utah,Hours worked,Millions of hours,2009,"1,826.763"
1432,649,Utah,42.0,2009,2312,Utah,Employment,Thousands of jobs,2009,1066.7
1434,649,Utah,42.0,2009,8912,Utah,Hours worked,Index (2012=100),2009,98.968
1435,649,Utah,42.0,2009,9737,Utah,Employment,Index (2012=100),2009,96.843
1436,649,Utah,42.0,2009,15512,Utah,Labor productivity,Index (2012=100),2009,93.389
1438,649,Utah,42.0,2009,17162,Utah,Output per worker,Index (2012=100),2009,95.438
1440,650,Vermont,34.3,2009,677,Vermont,Hours worked,Millions of hours,2009,451.989
1442,650,Vermont,34.3,2009,2327,Vermont,Employment,Thousands of jobs,2009,278.3
1444,650,Vermont,34.3,2009,8927,Vermont,Hours worked,Index (2012=100),2009,97.266
1445,650,Vermont,34.3,2009,9752,Vermont,Employment,Index (2012=100),2009,97.278
1446,650,Vermont,34.3,2009,15527,Vermont,Labor productivity,Index (2012=100),2009,94.155
1448,650,Vermont,34.3,2009,17177,Vermont,Output per worker,Index (2012=100),2009,94.142
1450,652,Virginia,31.2,2009,692,Virginia,Hours worked,Millions of hours,2009,"5,266.634"
1452,652,Virginia,31.2,2009,2342,Virginia,Employment,Thousands of jobs,2009,3166.9
1454,652,Virginia,31.2,2009,8942,Virginia,Hours worked,Index (2012=100),2009,95.563
1455,652,Virginia,31.2,2009,9767,Virginia,Employment,Index (2012=100),2009,97.086
1456,652,Virginia,31.2,2009,15542,Virginia,Labor productivity,Index (2012=100),2009,98.864
1458,652,Virginia,31.2,2009,17192,Virginia,Output per worker,Index (2012=100),2009,97.314
1460,653,Washington,28.0,2009,707,Washington,Hours worked,Millions of hours,2009,"4,254.491"
1462,653,Washington,28.0,2009,2357,Washington,Employment,Thousands of jobs,2009,2585.0
1464,653,Washington,28.0,2009,8957,Washington,Hours worked,Index (2012=100),2009,96.983
1465,653,Washington,28.0,2009,9782,Washington,Employment,Index (2012=100),2009,97.446
1466,653,Washington,28.0,2009,15557,Washington,Labor productivity,Index (2012=100),2009,93.140
1468,653,Washington,28.0,2009,17207,Washington,Output per worker,Index (2012=100),2009,92.696
1470,654,West Virginia,40.1,2009,722,West Virginia,Hours worked,Millions of hours,2009,"1,009.215"
1472,654,West Virginia,40.1,2009,2372,West Virginia,Employment,Thousands of jobs,2009,607.8
1474,654,West Virginia,40.1,2009,8972,West Virginia,Hours worked,Index (2012=100),2009,97.719
1475,654,West Virginia,40.1,2009,9797,West Virginia,Employment,Index (2012=100),2009,98.260
1476,654,West Virginia,40.1,2009,15572,West Virginia,Labor productivity,Index (2012=100),2009,99.177
1478,654,West Virginia,40.1,2009,17222,West Virginia,Output per worker,Index (2012=100),2009,98.631
1480,655,Wisconsin,36.4,2009,737,Wisconsin,Hours worked,Millions of hours,2009,"3,907.097"
1482,655,Wisconsin,36.4,2009,2387,Wisconsin,Employment,Thousands of jobs,2009,2510.8
1484,655,Wisconsin,36.4,2009,8987,Wisconsin,Hours worked,Index (2012=100),2009,95.760
1485,655,Wisconsin,36.4,2009,9812,Wisconsin,Employment,Index (2012=100),2009,99.279
1486,655,Wisconsin,36.4,2009,15587,Wisconsin,Labor productivity,Index (2012=100),2009,95.758
1488,655,Wisconsin,36.4,2009,17237,Wisconsin,Output per worker,Index (2012=100),2009,92.363
1490,656,Wyoming,30.3,2009,752,Wyoming,Hours worked,Millions of hours,2009,409.846
1492,656,Wyoming,30.3,2009,2402,Wyoming,Employment,Thousands of jobs,2009,239.6
1494,656,Wyoming,30.3,2009,9002,Wyoming,Hours worked,Index (2012=100),2009,97.421
1495,656,Wyoming,30.3,2009,9827,Wyoming,Employment,Index (2012=100),2009,99.683
1496,656,Wyoming,30.3,2009,15602,Wyoming,Labor productivity,Index (2012=100),2009,112.380
1498,656,Wyoming,30.3,2009,17252,Wyoming,Output per worker,Index (2012=100),2009,109.830
1500,657,Alabama,46.2,2010,3,Alabama,Hours worked,Millions of hours,2010,"2,727.896"
1502,657,Alabama,46.2,2010,1653,Alabama,Employment,Thousands of jobs,2010,1618.8
1504,657,Alabama,46.2,2010,8253,Alabama,Hours worked,Index (2012=100),2010,96.281
1505,657,Alabama,46.2,2010,9078,Alabama,Employment,Index (2012=100),2010,99.046
1506,657,Alabama,46.2,2010,14853,Alabama,Labor productivity,Index (2012=100),2010,99.876
1508,657,Alabama,46.2,2010,16503,Alabama,Output per worker,Index (2012=100),2010,97.088
1510,658,Alaska,19.8,2010,18,Alaska,Hours worked,Millions of hours,2010,459.836
1512,658,Alaska,19.8,2010,1668,Alaska,Employment,Thousands of jobs,2010,269.0
1514,658,Alaska,19.8,2010,8268,Alaska,Hours worked,Index (2012=100),2010,95.330
1515,658,Alaska,19.8,2010,9093,Alaska,Employment,Index (2012=100),2010,96.415
1516,658,Alaska,19.8,2010,14868,Alaska,Labor productivity,Index (2012=100),2010,98.003
1518,658,Alaska,19.8,2010,16518,Alaska,Output per worker,Index (2012=100),2010,96.901
1520,659,Arizona,42.9,2010,33,Arizona,Hours worked,Millions of hours,2010,"3,769.834"
1522,659,Arizona,42.9,2010,1683,Arizona,Employment,Thousands of jobs,2010,2222.9
1524,659,Arizona,42.9,2010,8283,Arizona,Hours worked,Index (2012=100),2010,98.050
1525,659,Arizona,42.9,2010,9108,Arizona,Employment,Index (2012=100),2010,97.724
1526,659,Arizona,42.9,2010,14883,Arizona,Labor productivity,Index (2012=100),2010,95.873
1528,659,Arizona,42.9,2010,16533,Arizona,Output per worker,Index (2012=100),2010,96.193
1530,660,Arkansas,43.7,2010,48,Arkansas,Hours worked,Millions of hours,2010,"1,713.362"
1532,660,Arkansas,43.7,2010,1698,Arkansas,Employment,Thousands of jobs,2010,1016.6
1534,660,Arkansas,43.7,2010,8298,Arkansas,Hours worked,Index (2012=100),2010,97.500
1535,660,Arkansas,43.7,2010,9123,Arkansas,Employment,Index (2012=100),2010,97.738
1536,660,Arkansas,43.7,2010,14898,Arkansas,Labor productivity,Index (2012=100),2010,99.378
1538,660,Arkansas,43.7,2010,16548,Arkansas,Output per worker,Index (2012=100),2010,99.136
1540,661,California,45.3,2010,63,California,Hours worked,Millions of hours,2010,"22,332.549"
1542,661,California,45.3,2010,1713,California,Employment,Thousands of jobs,2010,13566.7
1544,661,California,45.3,2010,8313,California,Hours worked,Index (2012=100),2010,95.651
1545,661,California,45.3,2010,9138,California,Employment,Index (2012=100),2010,96.070
1546,661,California,45.3,2010,14913,California,Labor productivity,Index (2012=100),2010,98.899
1548,661,California,45.3,2010,16563,California,Output per worker,Index (2012=100),2010,98.467
1550,662,Colorado,36.5,2010,78,Colorado,Hours worked,Millions of hours,2010,"3,349.267"
1552,662,Colorado,36.5,2010,1728,Colorado,Employment,Thousands of jobs,2010,2033.2
1554,662,Colorado,36.5,2010,8328,Colorado,Hours worked,Index (2012=100),2010,94.428
1555,662,Colorado,36.5,2010,9153,Colorado,Employment,Index (2012=100),2010,96.083
1556,662,Colorado,36.5,2010,14928,Colorado,Labor productivity,Index (2012=100),2010,101.145
1558,662,Colorado,36.5,2010,16578,Colorado,Output per worker,Index (2012=100),2010,99.402
1560,663,Connecticut,39.8,2010,93,Connecticut,Hours worked,Millions of hours,2010,"2,407.037"
1562,663,Connecticut,39.8,2010,1743,Connecticut,Employment,Thousands of jobs,2010,1500.2
1564,663,Connecticut,39.8,2010,8343,Connecticut,Hours worked,Index (2012=100),2010,95.280
1565,663,Connecticut,39.8,2010,9168,Connecticut,Employment,Index (2012=100),2010,97.524
1566,663,Connecticut,39.8,2010,14943,Connecticut,Labor productivity,Index (2012=100),2010,106.060
1568,663,Connecticut,39.8,2010,16593,Connecticut,Output per worker,Index (2012=100),2010,103.619
1570,665,Delaware,46.7,2010,108,Delaware,Hours worked,Millions of hours,2010,578.474
1572,665,Delaware,46.7,2010,1758,Delaware,Employment,Thousands of jobs,2010,368.8
1574,665,Delaware,46.7,2010,8358,Delaware,Hours worked,Index (2012=100),2010,95.449
1575,665,Delaware,46.7,2010,9183,Delaware,Employment,Index (2012=100),2010,97.015
1576,665,Delaware,46.7,2010,14958,Delaware,Labor productivity,Index (2012=100),2010,100.739
1578,665,Delaware,46.7,2010,16608,Delaware,Output per worker,Index (2012=100),2010,99.113
1580,667,Florida,40.4,2010,138,Florida,Hours worked,Millions of hours,2010,"11,248.163"
1582,667,Florida,40.4,2010,1788,Florida,Employment,Thousands of jobs,2010,6561.6
1584,667,Florida,40.4,2010,8388,Florida,Hours worked,Index (2012=100),2010,99.216
1585,667,Florida,40.4,2010,9213,Florida,Employment,Index (2012=100),2010,96.223
1586,667,Florida,40.4,2010,14988,Florida,Labor productivity,Index (2012=100),2010,98.878
1588,667,Florida,40.4,2010,16638,Florida,Output per worker,Index (2012=100),2010,101.953
1590,668,Georgia,46.3,2010,153,Georgia,Hours worked,Millions of hours,2010,"5,743.520"
1592,668,Georgia,46.3,2010,1803,Georgia,Employment,Thousands of jobs,2010,3423.2
1594,668,Georgia,46.3,2010,8403,Georgia,Hours worked,Index (2012=100),2010,95.424
1595,668,Georgia,46.3,2010,9228,Georgia,Employment,Index (2012=100),2010,96.435
1596,668,Georgia,46.3,2010,15003,Georgia,Labor productivity,Index (2012=100),2010,100.225
1598,668,Georgia,46.3,2010,16653,Georgia,Output per worker,Index (2012=100),2010,99.174
1600,669,Hawaii,40.3,2010,168,Hawaii,Hours worked,Millions of hours,2010,827.376
1602,669,Hawaii,40.3,2010,1818,Hawaii,Employment,Thousands of jobs,2010,512.8
1604,669,Hawaii,40.3,2010,8418,Hawaii,Hours worked,Index (2012=100),2010,93.324
1605,669,Hawaii,40.3,2010,9243,Hawaii,Employment,Index (2012=100),2010,96.046
1606,669,Hawaii,40.3,2010,15018,Hawaii,Labor productivity,Index (2012=100),2010,102.064
1608,669,Hawaii,40.3,2010,16668,Hawaii,Output per worker,Index (2012=100),2010,99.171
1610,670,Idaho,28.2,2010,183,Idaho,Hours worked,Millions of hours,2010,891.088
1612,670,Idaho,28.2,2010,1833,Idaho,Employment,Thousands of jobs,2010,552.6
1614,670,Idaho,28.2,2010,8433,Idaho,Hours worked,Index (2012=100),2010,97.475
1615,670,Idaho,28.2,2010,9258,Idaho,Employment,Index (2012=100),2010,97.159
1616,670,Idaho,28.2,2010,15033,Idaho,Labor productivity,Index (2012=100),2010,101.757
1618,670,Idaho,28.2,2010,16683,Idaho,Output per worker,Index (2012=100),2010,102.087
1620,671,Illinois,40.2,2010,198,Illinois,Hours worked,Millions of hours,2010,"8,431.818"
1622,671,Illinois,40.2,2010,1848,Illinois,Employment,Thousands of jobs,2010,5082.3
1624,671,Illinois,40.2,2010,8448,Illinois,Hours worked,Index (2012=100),2010,96.399
1625,671,Illinois,40.2,2010,9273,Illinois,Employment,Index (2012=100),2010,97.074
1626,671,Illinois,40.2,2010,15048,Illinois,Labor productivity,Index (2012=100),2010,97.950
1628,671,Illinois,40.2,2010,16698,Illinois,Output per worker,Index (2012=100),2010,97.270
1630,672,Indiana,47.5,2010,213,Indiana,Hours worked,Millions of hours,2010,"4,233.951"
1632,672,Indiana,47.5,2010,1863,Indiana,Employment,Thousands of jobs,2010,2503.9
1634,672,Indiana,47.5,2010,8463,Indiana,Hours worked,Index (2012=100),2010,97.468
1635,672,Indiana,47.5,2010,9288,Indiana,Employment,Index (2012=100),2010,96.868
1636,672,Indiana,47.5,2010,15063,Indiana,Labor productivity,Index (2012=100),2010,100.976
1638,672,Indiana,47.5,2010,16713,Indiana,Output per worker,Index (2012=100),2010,101.602
1640,673,Iowa,39.4,2010,228,Iowa,Hours worked,Millions of hours,2010,"2,188.948"
1642,673,Iowa,39.4,2010,1878,Iowa,Employment,Thousands of jobs,2010,1333.2
1644,673,Iowa,39.4,2010,8478,Iowa,Hours worked,Index (2012=100),2010,96.953
1645,673,Iowa,39.4,2010,9303,Iowa,Employment,Index (2012=100),2010,97.830
1646,673,Iowa,39.4,2010,15078,Iowa,Labor productivity,Index (2012=100),2010,97.417
1648,673,Iowa,39.4,2010,16728,Iowa,Output per worker,Index (2012=100),2010,96.544
1650,674,Kansas,33.4,2010,243,Kansas,Hours worked,Millions of hours,2010,"1,913.744"
1652,674,Kansas,33.4,2010,1893,Kansas,Employment,Thousands of jobs,2010,1166.8
1654,674,Kansas,33.4,2010,8493,Kansas,Hours worked,Index (2012=100),2010,95.309
1655,674,Kansas,33.4,2010,9318,Kansas,Employment,Index (2012=100),2010,97.387
1656,674,Kansas,33.4,2010,15093,Kansas,Labor productivity,Index (2012=100),2010,98.595
1658,674,Kansas,33.4,2010,16743,Kansas,Output per worker,Index (2012=100),2010,96.492
1660,675,Kentucky,43.8,2010,258,Kentucky,Hours worked,Millions of hours,2010,"2,665.207"
1662,675,Kentucky,43.8,2010,1908,Kentucky,Employment,Thousands of jobs,2010,1568.4
1664,675,Kentucky,43.8,2010,8508,Kentucky,Hours worked,Index (2012=100),2010,99.817
1665,675,Kentucky,43.8,2010,9333,Kentucky,Employment,Index (2012=100),2010,98.477
1666,675,Kentucky,43.8,2010,15108,Kentucky,Labor productivity,Index (2012=100),2010,96.827
1668,675,Kentucky,43.8,2010,16758,Kentucky,Output per worker,Index (2012=100),2010,98.143
1670,676,Louisiana,42.2,2010,273,Louisiana,Hours worked,Millions of hours,2010,"2,895.188"
1672,676,Louisiana,42.2,2010,1923,Louisiana,Employment,Thousands of jobs,2010,1654.0
1674,676,Louisiana,42.2,2010,8523,Louisiana,Hours worked,Index (2012=100),2010,97.297
1675,676,Louisiana,42.2,2010,9348,Louisiana,Employment,Index (2012=100),2010,96.993
1676,676,Louisiana,42.2,2010,15123,Louisiana,Labor productivity,Index (2012=100),2010,108.742
1678,676,Louisiana,42.2,2010,16773,Louisiana,Output per worker,Index (2012=100),2010,109.083
1680,677,Maine,34.1,2010,288,Maine,Hours worked,Millions of hours,2010,906.127
1682,677,Maine,34.1,2010,1938,Maine,Employment,Thousands of jobs,2010,556.6
1684,677,Maine,34.1,2010,8538,Maine,Hours worked,Index (2012=100),2010,97.972
1685,677,Maine,34.1,2010,9363,Maine,Employment,Index (2012=100),2010,98.591
1686,677,Maine,34.1,2010,15138,Maine,Labor productivity,Index (2012=100),2010,102.264
1688,677,Maine,34.1,2010,16788,Maine,Output per worker,Index (2012=100),2010,101.623
1690,678,Maryland,46.4,2010,303,Maryland,Hours worked,Millions of hours,2010,"3,574.197"
1692,678,Maryland,46.4,2010,1953,Maryland,Employment,Thousands of jobs,2010,2169.7
1694,678,Maryland,46.4,2010,8553,Maryland,Hours worked,Index (2012=100),2010,97.622
1695,678,Maryland,46.4,2010,9378,Maryland,Employment,Index (2012=100),2010,96.974
1696,678,Maryland,46.4,2010,15153,Maryland,Labor productivity,Index (2012=100),2010,99.656
1698,678,Maryland,46.4,2010,16803,Maryland,Output per worker,Index (2012=100),2010,100.322
1700,679,Massachusetts,38.8,2010,318,Massachusetts,Hours worked,Millions of hours,2010,"4,883.480"
1702,679,Massachusetts,38.8,2010,1968,Massachusetts,Employment,Thousands of jobs,2010,3032.6
1704,679,Massachusetts,38.8,2010,8568,Massachusetts,Hours worked,Index (2012=100),2010,97.702
1705,679,Massachusetts,38.8,2010,9393,Massachusetts,Employment,Index (2012=100),2010,96.243
1706,679,Massachusetts,38.8,2010,15168,Massachusetts,Labor productivity,Index (2012=100),2010,97.122
1708,679,Massachusetts,38.8,2010,16818,Massachusetts,Output per worker,Index (2012=100),2010,98.594
1710,680,Michigan,38.3,2010,333,Michigan,Hours worked,Millions of hours,2010,"5,624.684"
1712,680,Michigan,38.3,2010,1983,Michigan,Employment,Thousands of jobs,2010,3479.1
1714,680,Michigan,38.3,2010,8583,Michigan,Hours worked,Index (2012=100),2010,93.174
1715,680,Michigan,38.3,2010,9408,Michigan,Employment,Index (2012=100),2010,95.233
1716,680,Michigan,38.3,2010,15183,Michigan,Labor productivity,Index (2012=100),2010,100.005
1718,680,Michigan,38.3,2010,16833,Michigan,Output per worker,Index (2012=100),2010,97.843
1720,681,Minnesota,33.1,2010,348,Minnesota,Hours worked,Millions of hours,2010,"3,802.482"
1722,681,Minnesota,33.1,2010,1998,Minnesota,Employment,Thousands of jobs,2010,2392.4
1724,681,Minnesota,33.1,2010,8598,Minnesota,Hours worked,Index (2012=100),2010,95.173
1725,681,Minnesota,33.1,2010,9423,Minnesota,Employment,Index (2012=100),2010,96.525
1726,681,Minnesota,33.1,2010,15198,Minnesota,Labor productivity,Index (2012=100),2010,100.323
1728,681,Minnesota,33.1,2010,16848,Minnesota,Output per worker,Index (2012=100),2010,98.918
1730,682,Mississippi,44.3,2010,363,Mississippi,Hours worked,Millions of hours,2010,"1,598.967"
1732,682,Mississippi,44.3,2010,2013,Mississippi,Employment,Thousands of jobs,2010,919.5
1734,682,Mississippi,44.3,2010,8613,Mississippi,Hours worked,Index (2012=100),2010,99.856
1735,682,Mississippi,44.3,2010,9438,Mississippi,Employment,Index (2012=100),2010,98.961
1736,682,Mississippi,44.3,2010,15213,Mississippi,Labor productivity,Index (2012=100),2010,96.619
1738,682,Mississippi,44.3,2010,16863,Mississippi,Output per worker,Index (2012=100),2010,97.493
1740,683,Missouri,43.9,2010,378,Missouri,Hours worked,Millions of hours,2010,"3,912.397"
1742,683,Missouri,43.9,2010,2028,Missouri,Employment,Thousands of jobs,2010,2388.4
1744,683,Missouri,43.9,2010,8628,Missouri,Hours worked,Index (2012=100),2010,96.528
1745,683,Missouri,43.9,2010,9453,Missouri,Employment,Index (2012=100),2010,97.964
1746,683,Missouri,43.9,2010,15228,Missouri,Labor productivity,Index (2012=100),2010,102.278
1748,683,Missouri,43.9,2010,16878,Missouri,Output per worker,Index (2012=100),2010,100.778
1750,684,Montana,27.9,2010,393,Montana,Hours worked,Millions of hours,2010,606.333
1752,684,Montana,27.9,2010,2043,Montana,Employment,Thousands of jobs,2010,384.7
1754,684,Montana,27.9,2010,8643,Montana,Hours worked,Index (2012=100),2010,94.320
1755,684,Montana,27.9,2010,9468,Montana,Employment,Index (2012=100),2010,95.946
1756,684,Montana,27.9,2010,15243,Montana,Labor productivity,Index (2012=100),2010,100.635
1758,684,Montana,27.9,2010,16893,Montana,Output per worker,Index (2012=100),2010,98.929
1760,685,Nebraska,29.8,2010,408,Nebraska,Hours worked,Millions of hours,2010,"1,394.775"
1762,685,Nebraska,29.8,2010,2058,Nebraska,Employment,Thousands of jobs,2010,844.7
1764,685,Nebraska,29.8,2010,8658,Nebraska,Hours worked,Index (2012=100),2010,97.404
1765,685,Nebraska,29.8,2010,9483,Nebraska,Employment,Index (2012=100),2010,96.962
1766,685,Nebraska,29.8,2010,15258,Nebraska,Labor productivity,Index (2012=100),2010,95.431
1768,685,Nebraska,29.8,2010,16908,Nebraska,Output per worker,Index (2012=100),2010,95.866
1770,686,Nevada,32.6,2010,423,Nevada,Hours worked,Millions of hours,2010,"1,733.169"
1772,686,Nevada,32.6,2010,2073,Nevada,Employment,Thousands of jobs,2010,1033.6
1774,686,Nevada,32.6,2010,8673,Nevada,Hours worked,Index (2012=100),2010,98.309
1775,686,Nevada,32.6,2010,9498,Nevada,Employment,Index (2012=100),2010,97.279
1776,686,Nevada,32.6,2010,15273,Nevada,Labor productivity,Index (2012=100),2010,100.397
1778,686,Nevada,32.6,2010,16923,Nevada,Output per worker,Index (2012=100),2010,101.460
1780,687,New Hampshire,38.3,2010,438,New Hampshire,Hours worked,Millions of hours,2010,938.205
1782,687,New Hampshire,38.3,2010,2088,New Hampshire,Employment,Thousands of jobs,2010,584.0
1784,687,New Hampshire,38.3,2010,8688,New Hampshire,Hours worked,Index (2012=100),2010,97.658
1785,687,New Hampshire,38.3,2010,9513,New Hampshire,Employment,Index (2012=100),2010,97.432
1786,687,New Hampshire,38.3,2010,15288,New Hampshire,Labor productivity,Index (2012=100),2010,99.337
1788,687,New Hampshire,38.3,2010,16938,New Hampshire,Output per worker,Index (2012=100),2010,99.568
1790,688,New Jersey,40.8,2010,453,New Jersey,Hours worked,Millions of hours,2010,"5,565.849"
1792,688,New Jersey,40.8,2010,2103,New Jersey,Employment,Thousands of jobs,2010,3411.3
1794,688,New Jersey,40.8,2010,8703,New Jersey,Hours worked,Index (2012=100),2010,97.747
1795,688,New Jersey,40.8,2010,9528,New Jersey,Employment,Index (2012=100),2010,97.648
1796,688,New Jersey,40.8,2010,15303,New Jersey,Labor productivity,Index (2012=100),2010,100.181
1798,688,New Jersey,40.8,2010,16953,New Jersey,Output per worker,Index (2012=100),2010,100.283
1800,689,New Mexico,30.3,2010,468,New Mexico,Hours worked,Millions of hours,2010,"1,117.354"
1802,689,New Mexico,30.3,2010,2118,New Mexico,Employment,Thousands of jobs,2010,665.5
1804,689,New Mexico,30.3,2010,8718,New Mexico,Hours worked,Index (2012=100),2010,98.697
1805,689,New Mexico,30.3,2010,9543,New Mexico,Employment,Index (2012=100),2010,98.208
1806,689,New Mexico,30.3,2010,15318,New Mexico,Labor productivity,Index (2012=100),2010,99.961
1808,689,New Mexico,30.3,2010,16968,New Mexico,Output per worker,Index (2012=100),2010,100.459
1810,690,New York,37.1,2010,483,New York,Hours worked,Millions of hours,2010,"12,411.384"
1812,690,New York,37.1,2010,2133,New York,Employment,Thousands of jobs,2010,7582.7
1814,690,New York,37.1,2010,8733,New York,Hours worked,Index (2012=100),2010,96.570
1815,690,New York,37.1,2010,9558,New York,Employment,Index (2012=100),2010,96.793
1816,690,New York,37.1,2010,15333,New York,Labor productivity,Index (2012=100),2010,98.311
1818,690,New York,37.1,2010,16983,New York,Output per worker,Index (2012=100),2010,98.085
1820,691,North Carolina,44.1,2010,498,North Carolina,Hours worked,Millions of hours,2010,"5,647.039"
1822,691,North Carolina,44.1,2010,2148,North Carolina,Employment,Thousands of jobs,2010,3429.9
1824,691,North Carolina,44.1,2010,8748,North Carolina,Hours worked,Index (2012=100),2010,94.499
1825,691,North Carolina,44.1,2010,9573,North Carolina,Employment,Index (2012=100),2010,96.182
1826,691,North Carolina,44.1,2010,15348,North Carolina,Labor productivity,Index (2012=100),2010,102.864
1828,691,North Carolina,44.1,2010,16998,North Carolina,Output per worker,Index (2012=100),2010,101.065
1830,692,North Dakota,34.4,2010,513,North Dakota,Hours worked,Millions of hours,2010,510.189
1832,692,North Dakota,34.4,2010,2163,North Dakota,Employment,Thousands of jobs,2010,321.4
1834,692,North Dakota,34.4,2010,8763,North Dakota,Hours worked,Index (2012=100),2010,79.526
1835,692,North Dakota,34.4,2010,9588,North Dakota,Employment,Index (2012=100),2010,85.348
1836,692,North Dakota,34.4,2010,15363,North Dakota,Labor productivity,Index (2012=100),2010,86.736
1838,692,North Dakota,34.4,2010,17013,North Dakota,Output per worker,Index (2012=100),2010,80.819
1840,693,Ohio,46.4,2010,528,Ohio,Hours worked,Millions of hours,2010,"7,390.831"
1842,693,Ohio,46.4,2010,2178,Ohio,Employment,Thousands of jobs,2010,4576.9
1844,693,Ohio,46.4,2010,8778,Ohio,Hours worked,Index (2012=100),2010,94.242
1845,693,Ohio,46.4,2010,9603,Ohio,Employment,Index (2012=100),2010,96.026
1846,693,Ohio,46.4,2010,15378,Ohio,Labor productivity,Index (2012=100),2010,100.658
1848,693,Ohio,46.4,2010,17028,Ohio,Output per worker,Index (2012=100),2010,98.788
1850,694,Oklahoma,40.2,2010,543,Oklahoma,Hours worked,Millions of hours,2010,"2,269.964"
1852,694,Oklahoma,40.2,2010,2193,Oklahoma,Employment,Thousands of jobs,2010,1318.3
1854,694,Oklahoma,40.2,2010,8793,Oklahoma,Hours worked,Index (2012=100),2010,95.606
1855,694,Oklahoma,40.2,2010,9618,Oklahoma,Employment,Index (2012=100),2010,95.631
1856,694,Oklahoma,40.2,2010,15393,Oklahoma,Labor productivity,Index (2012=100),2010,93.450
1858,694,Oklahoma,40.2,2010,17043,Oklahoma,Output per worker,Index (2012=100),2010,93.425
1860,695,Oregon,25.4,2010,558,Oregon,Hours worked,Millions of hours,2010,"2,404.388"
1862,695,Oregon,25.4,2010,2208,Oregon,Employment,Thousands of jobs,2010,1477.3
1864,695,Oregon,25.4,2010,8808,Oregon,Hours worked,Index (2012=100),2010,96.543
1865,695,Oregon,25.4,2010,9633,Oregon,Employment,Index (2012=100),2010,95.702
1866,695,Oregon,25.4,2010,15408,Oregon,Labor productivity,Index (2012=100),2010,98.434
